autosupercell-app  | 2026-03-11T08:02:52.866039712Z 2026-03-11 08:02:52.865 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:02:53.099515510Z 2026-03-11 08:02:53.099 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:02:53.174628933Z 2026-03-11 08:02:53.174 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:02:53.192825706Z 2026-03-11 08:02:53.192 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:02:53.604440039Z INFO:     127.0.0.1:38522 - "GET /api/v1/health HTTP/1.1" 200 OK
autosupercell-app  | 2026-03-11T08:02:58.335516697Z 2026-03-11 08:02:58.334 | INFO     | app.api.store_routes:_purchase_flow:2097 - Авторизация завершена, продолжаем покупку...
autosupercell-app  | 2026-03-11T08:03:01.015976817Z 2026-03-11 08:03:01.015 | INFO     | app.core.browser_automation:_log_diagnostics:1739 - === DIAGNOSTICS after_auth ===
autosupercell-app  | 2026-03-11T08:03:01.016207917Z 2026-03-11 08:03:01.015 | INFO     | app.core.browser_automation:_log_diagnostics:1740 - URL: https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:01.030255398Z 2026-03-11 08:03:01.029 | DEBUG    | app.core.browser_automation:_check_viewport_consistency:1683 - Viewport OK after_auth: 1440x900 (dpr: 1.25)
autosupercell-app  | 2026-03-11T08:03:01.038363367Z 2026-03-11 08:03:01.037 | INFO     | app.core.browser_automation:_detect_iframes:1711 - IFRAMES detected after_auth: 1 iframe(s)
autosupercell-app  | 2026-03-11T08:03:01.038635147Z 2026-03-11 08:03:01.038 | INFO     | app.core.browser_automation:_detect_iframes:1713 -   - iframe[0]: src=empty, id=, visible=False, size=0x0
autosupercell-app  | 2026-03-11T08:03:01.038935049Z 2026-03-11 08:03:01.038 | INFO     | app.core.browser_automation:_detect_iframes:1720 - Page frames count: 2 (main + iframes)
autosupercell-app  | 2026-03-11T08:03:01.039229799Z 2026-03-11 08:03:01.039 | DEBUG    | app.core.browser_automation:_detect_iframes:1725 -   Frame[0]: MAIN - https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:01.039360730Z 2026-03-11 08:03:01.039 | DEBUG    | app.core.browser_automation:_detect_iframes:1725 -   Frame[1]: IFRAME - about:blank
autosupercell-app  | 2026-03-11T08:03:01.039538571Z 2026-03-11 08:03:01.039 | INFO     | app.core.browser_automation:_log_diagnostics:1750 - Network: 246 requests, 2 failed
autosupercell-app  | 2026-03-11T08:03:01.039905952Z 2026-03-11 08:03:01.039 | WARNING  | app.core.browser_automation:_log_diagnostics:1752 - Failed requests: [{'url': 'https://supercell.com/_next/data/cf2e232587ed794f18c886c8bd103cb20498f130/en.json', 'error': 'net::ERR_ABORTED', 'method': 'HEAD'}, {'url': 'https://www.google.com/recaptcha/enterprise/clr?k=6Leb7KMpAAAAAAm20DGNdW_O7fuW4hECp4PpE6cI', 'error': 'net::ERR_ABORTED', 'method': 'POST'}]
autosupercell-app  | 2026-03-11T08:03:01.040190182Z 2026-03-11 08:03:01.039 | INFO     | app.core.browser_automation:_log_diagnostics:1754 - === END DIAGNOSTICS ===
autosupercell-app  | 2026-03-11T08:03:01.040552134Z 2026-03-11 08:03:01.040 | INFO     | app.api.store_routes:_purchase_flow:2107 - Проверка синхронизации сессии на store.supercell.com...
autosupercell-app  | 2026-03-11T08:03:01.061799538Z 2026-03-11 08:03:01.061 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:01.222005238Z 2026-03-11 08:03:01.221 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:01.243293573Z 2026-03-11 08:03:01.242 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:01.246416284Z 2026-03-11 08:03:01.246 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.247119906Z 2026-03-11 08:03:01.246 | ERROR    | app.core.browser_automation:on_request_failed:1617 - ✗ [POST] FAILED https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0 - net::ERR_ABORTED
autosupercell-app  | 2026-03-11T08:03:01.247784669Z 2026-03-11 08:03:01.247 | ERROR    | app.core.browser_automation:on_request_failed:1617 - ✗ [POST] FAILED https://collector.snowplow.supercell.com/fe9da/yx7 - net::ERR_ABORTED
autosupercell-app  | 2026-03-11T08:03:01.357155632Z 2026-03-11 08:03:01.356 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.440105913Z 2026-03-11 08:03:01.439 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.456545251Z 2026-03-11 08:03:01.456 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.459675322Z 2026-03-11 08:03:01.459 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.472041734Z 2026-03-11 08:03:01.471 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.supercell.com/onetrust/supercell/feature-flag.json
autosupercell-app  | 2026-03-11T08:03:01.476086400Z 2026-03-11 08:03:01.475 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.506145454Z 2026-03-11 08:03:01.505 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/data/v1/en.json
autosupercell-app  | 2026-03-11T08:03:01.506484335Z 2026-03-11 08:03:01.506 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/data/v1/en/account.json
autosupercell-app  | 2026-03-11T08:03:01.513189450Z 2026-03-11 08:03:01.512 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.514064913Z 2026-03-11 08:03:01.513 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.supercell.com/onetrust/supercell/feature-flag.json
autosupercell-app  | 2026-03-11T08:03:01.517164713Z 2026-03-11 08:03:01.516 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.518969530Z 2026-03-11 08:03:01.518 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0
autosupercell-app  | 2026-03-11T08:03:01.522596071Z 2026-03-11 08:03:01.522 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/consent/010ca8c2-5d7a-43f5-ac8f-8c0d21467334/010ca8c2-5d7a-43f5-ac8f-8c0d21467334.json
autosupercell-app  | 2026-03-11T08:03:01.537965936Z 2026-03-11 08:03:01.537 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/consent/010ca8c2-5d7a-43f5-ac8f-8c0d21467334/010ca8c2-5d7a-43f5-ac8f-8c0d21467334.json
autosupercell-app  | 2026-03-11T08:03:01.544406799Z 2026-03-11 08:03:01.543 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/consent/010ca8c2-5d7a-43f5-ac8f-8c0d21467334/0196f1cf-e606-7fb0-8707-57957851d2d6/en.json
autosupercell-app  | 2026-03-11T08:03:01.555391957Z 2026-03-11 08:03:01.554 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/consent/010ca8c2-5d7a-43f5-ac8f-8c0d21467334/0196f1cf-e606-7fb0-8707-57957851d2d6/en.json
autosupercell-app  | 2026-03-11T08:03:01.573947782Z 2026-03-11 08:03:01.573 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otFlat.json
autosupercell-app  | 2026-03-11T08:03:01.578962660Z 2026-03-11 08:03:01.578 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/v2/otPcCenter.json
autosupercell-app  | 2026-03-11T08:03:01.582409201Z 2026-03-11 08:03:01.581 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otCommonStyles.css
autosupercell-app  | 2026-03-11T08:03:01.590711561Z 2026-03-11 08:03:01.590 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/data/v1/en.json
autosupercell-app  | 2026-03-11T08:03:01.601850260Z 2026-03-11 08:03:01.601 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/data/v1/en/account.json
autosupercell-app  | 2026-03-11T08:03:01.602627472Z 2026-03-11 08:03:01.602 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otFlat.json
autosupercell-app  | 2026-03-11T08:03:01.603238034Z 2026-03-11 08:03:01.603 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/static/chunks/pages/index-edb1c8f087240175.js
autosupercell-app  | 2026-03-11T08:03:01.606542417Z 2026-03-11 08:03:01.606 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/v2/otPcCenter.json
autosupercell-app  | 2026-03-11T08:03:01.609285675Z 2026-03-11 08:03:01.608 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:03:01.610570291Z 2026-03-11 08:03:01.610 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://cdn.cookielaw.org/scripttemplates/202401.2.0/assets/otCommonStyles.css
autosupercell-app  | 2026-03-11T08:03:01.660628295Z 2026-03-11 08:03:01.660 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/static/chunks/pages/index-edb1c8f087240175.js
autosupercell-app  | 2026-03-11T08:03:01.661381598Z 2026-03-11 08:03:01.661 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:03:01.668810984Z 2026-03-11 08:03:01.668 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:03:01.678906339Z 2026-03-11 08:03:01.678 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/_next/static/chunks/pages/account-29372e01b6af57af.js
autosupercell-app  | 2026-03-11T08:03:01.693482361Z 2026-03-11 08:03:01.692 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:01.746671617Z 2026-03-11 08:03:01.746 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:01.754448324Z 2026-03-11 08:03:01.753 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:01.771377654Z 2026-03-11 08:03:01.770 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:04.135673616Z 2026-03-11 08:03:04.134 | INFO     | app.core.browser_automation:_log_diagnostics:1739 - === DIAGNOSTICS after_goto_store ===
autosupercell-app  | 2026-03-11T08:03:04.135750616Z 2026-03-11 08:03:04.135 | INFO     | app.core.browser_automation:_log_diagnostics:1740 - URL: https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:04.149638676Z 2026-03-11 08:03:04.149 | DEBUG    | app.core.browser_automation:_check_viewport_consistency:1683 - Viewport OK after_goto_store: 1440x900 (dpr: 1.25)
autosupercell-app  | 2026-03-11T08:03:04.157136782Z 2026-03-11 08:03:04.156 | INFO     | app.core.browser_automation:_detect_iframes:1711 - IFRAMES detected after_goto_store: 1 iframe(s)
autosupercell-app  | 2026-03-11T08:03:04.157324383Z 2026-03-11 08:03:04.157 | INFO     | app.core.browser_automation:_detect_iframes:1713 -   - iframe[0]: src=empty, id=, visible=False, size=0x0
autosupercell-app  | 2026-03-11T08:03:04.157620254Z 2026-03-11 08:03:04.157 | INFO     | app.core.browser_automation:_detect_iframes:1720 - Page frames count: 2 (main + iframes)
autosupercell-app  | 2026-03-11T08:03:04.157871845Z 2026-03-11 08:03:04.157 | DEBUG    | app.core.browser_automation:_detect_iframes:1725 -   Frame[0]: MAIN - https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:04.157991655Z 2026-03-11 08:03:04.157 | DEBUG    | app.core.browser_automation:_detect_iframes:1725 -   Frame[1]: IFRAME - about:blank
autosupercell-app  | 2026-03-11T08:03:04.158137676Z 2026-03-11 08:03:04.157 | INFO     | app.core.browser_automation:_log_diagnostics:1750 - Network: 266 requests, 4 failed
autosupercell-app  | 2026-03-11T08:03:04.158533807Z 2026-03-11 08:03:04.158 | WARNING  | app.core.browser_automation:_log_diagnostics:1752 - Failed requests: [{'url': 'https://supercell.com/_next/data/cf2e232587ed794f18c886c8bd103cb20498f130/en.json', 'error': 'net::ERR_ABORTED', 'method': 'HEAD'}, {'url': 'https://www.google.com/recaptcha/enterprise/clr?k=6Leb7KMpAAAAAAm20DGNdW_O7fuW4hECp4PpE6cI', 'error': 'net::ERR_ABORTED', 'method': 'POST'}, {'url': 'https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0', 'error': 'net::ERR_ABORTED', 'method': 'POST'}, {'url': 'https://collector.snowplow.supercell.com/fe9da/yx7', 'error': 'net::ERR_ABORTED', 'method': 'POST'}]
autosupercell-app  | 2026-03-11T08:03:04.158696648Z 2026-03-11 08:03:04.158 | INFO     | app.core.browser_automation:_log_diagnostics:1754 - === END DIAGNOSTICS ===
autosupercell-app  | 2026-03-11T08:03:04.205733062Z 2026-03-11 08:03:04.205 | INFO     | app.api.store_routes:_purchase_flow:2123 - Сессия синхронизирована - кнопка Log in исчезла
autosupercell-app  | 2026-03-11T08:03:04.768144593Z 2026-03-11 08:03:04.767 | INFO     | app.core.browser_automation:take_screenshot:1230 - Скриншот сохранен: screenshots/store_after_auth_purchase_tarifaltarifal_at_outlook.com_clash-royale.png
autosupercell-app  | 2026-03-11T08:03:04.768352914Z 2026-03-11 08:03:04.768 | INFO     | app.core.browser_automation:_log_diagnostics:1739 - === DIAGNOSTICS before_purchase_flow ===
autosupercell-app  | 2026-03-11T08:03:04.768432804Z 2026-03-11 08:03:04.768 | INFO     | app.core.browser_automation:_log_diagnostics:1740 - URL: https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:04.777103994Z 2026-03-11 08:03:04.776 | DEBUG    | app.core.browser_automation:_check_viewport_consistency:1683 - Viewport OK before_purchase_flow: 1440x900 (dpr: 1.25)
autosupercell-app  | 2026-03-11T08:03:04.785392044Z 2026-03-11 08:03:04.784 | INFO     | app.core.browser_automation:_detect_iframes:1711 - IFRAMES detected before_purchase_flow: 1 iframe(s)
autosupercell-app  | 2026-03-11T08:03:04.785625584Z 2026-03-11 08:03:04.785 | INFO     | app.core.browser_automation:_detect_iframes:1713 -   - iframe[0]: src=empty, id=, visible=False, size=0x0
autosupercell-app  | 2026-03-11T08:03:04.785841695Z 2026-03-11 08:03:04.785 | INFO     | app.core.browser_automation:_detect_iframes:1720 - Page frames count: 2 (main + iframes)
autosupercell-app  | 2026-03-11T08:03:04.786114736Z 2026-03-11 08:03:04.785 | DEBUG    | app.core.browser_automation:_detect_iframes:1725 -   Frame[0]: MAIN - https://store.supercell.com/
autosupercell-app  | 2026-03-11T08:03:04.786269947Z 2026-03-11 08:03:04.786 | DEBUG    | app.core.browser_automation:_detect_iframes:1725 -   Frame[1]: IFRAME - about:blank
autosupercell-app  | 2026-03-11T08:03:04.786376047Z 2026-03-11 08:03:04.786 | INFO     | app.core.browser_automation:_log_diagnostics:1750 - Network: 266 requests, 4 failed
autosupercell-app  | 2026-03-11T08:03:04.786659198Z 2026-03-11 08:03:04.786 | WARNING  | app.core.browser_automation:_log_diagnostics:1752 - Failed requests: [{'url': 'https://supercell.com/_next/data/cf2e232587ed794f18c886c8bd103cb20498f130/en.json', 'error': 'net::ERR_ABORTED', 'method': 'HEAD'}, {'url': 'https://www.google.com/recaptcha/enterprise/clr?k=6Leb7KMpAAAAAAm20DGNdW_O7fuW4hECp4PpE6cI', 'error': 'net::ERR_ABORTED', 'method': 'POST'}, {'url': 'https://o315582.ingest.us.sentry.io/api/5962619/envelope/?sentry_version=7&sentry_key=ea3492c3b6144f7cb83fe9bd3194bfc5&sentry_client=sentry.javascript.nextjs%2F10.42.0', 'error': 'net::ERR_ABORTED', 'method': 'POST'}, {'url': 'https://collector.snowplow.supercell.com/fe9da/yx7', 'error': 'net::ERR_ABORTED', 'method': 'POST'}]
autosupercell-app  | 2026-03-11T08:03:04.786842539Z 2026-03-11 08:03:04.786 | INFO     | app.core.browser_automation:_log_diagnostics:1754 - === END DIAGNOSTICS ===
autosupercell-app  | 2026-03-11T08:03:04.787184480Z 2026-03-11 08:03:04.787 | INFO     | app.api.store_routes:run_purchase_flow_after_login:1164 - Переход в магазин clash-royale...
autosupercell-app  | 2026-03-11T08:03:04.787398030Z 2026-03-11 08:03:04.787 | INFO     | app.core.browser_automation:navigate_to_store:1074 - Переход в магазин clash-royale: ищем карточку на главной и нажимаем
autosupercell-app  | 2026-03-11T08:03:04.934673866Z 2026-03-11 08:03:04.934 | DEBUG    | app.core.browser_automation:on_request:1587 - → [POST] https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:04.967213891Z 2026-03-11 08:03:04.966 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/clashroyale
autosupercell-app  | 2026-03-11T08:03:04.978090769Z 2026-03-11 08:03:04.977 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] POST https://collector.snowplow.supercell.com/fe9da/yx7
autosupercell-app  | 2026-03-11T08:03:05.241281891Z 2026-03-11 08:03:05.240 | DEBUG    | app.core.browser_automation:on_response:1599 - ← [200] GET https://store.supercell.com/clashroyale
autosupercell-app  | 2026-03-11T08:03:05.316268684Z 2026-03-11 08:03:05.315 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://store.supercell.com/_next/static/chunks/pages/%5BgameSlug%5D-dfed48a7eb2e0a7e.js
autosupercell-app  | 2026-03-11T08:03:05.337932519Z 2026-03-11 08:03:05.337 | INFO     | app.core.browser_automation:navigate_to_store:1084 - Клик по карточке (link): Clash Royale Store
autosupercell-app  | 2026-03-11T08:03:05.351334586Z 2026-03-11 08:03:05.350 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://images.store.supercell.com/gZq-JdbQ4K628pz594fvfB3QFn3IxJXO9iwYWifR8_4/rs:fit:700:700/q:90/aHR0cHM6Ly9ldmVudC1hc3NldHMuY2xhc2hyb3lhbGUuY29tLzViYzUwMmZhLTBiMzktNGUzZC1hZDM3LWNmMTJiYmExZmNmZV9zdG9yZS1oZXJvLXNwaXJpdC1lbXByZXNzLWJ1bmRsZS5qcGc.avif
autosupercell-app  | 2026-03-11T08:03:05.357844049Z 2026-03-11 08:03:05.357 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://images.store.supercell.com/-cuvf45T0BKwZ-0ISdIlyow6pIH0RUE4LBXqmPDw5Ow/rs:fit:700:700/q:90/aHR0cHM6Ly9ldmVudC1hc3NldHMuY2xhc2hyb3lhbGUuY29tLzUwZmM0NjcxLTZkYzAtNDI1Mi1hODEyLTRhODhkNTVjNTRkYl9zdG9yZS1oZXJvLXNwaXJpdC1lbXByZXNzLWVtb3RlLmpwZw.avif
autosupercell-app  | 2026-03-11T08:03:05.370847025Z 2026-03-11 08:03:05.370 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://images.store.supercell.com/Y_qlW2cm4P9X6TRqRUTSjU_0pAYOEk7XGzLk9xtvOuE/rs:fit:700:700/q:90/aHR0cHM6Ly9ldmVudC1hc3NldHMuY2xhc2hyb3lhbGUuY29tLzljMGMzNThlLTk1ZGMtNGRlOS1hNTMwLTRlMzkzOTQzODQ3M19zdG9yZS1oZXJvLXNwaXJpdC1lbXByZXNzLmpwZw.avif
autosupercell-app  | 2026-03-11T08:03:05.380158167Z 2026-03-11 08:03:05.379 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://images.store.supercell.com/3OTJinTUYRYa8bODw-cYsd_ER38KQ9ubx3zI5LBpdCk/rs:fit:700:700/q:90/aHR0cHM6Ly9ldmVudC1hc3NldHMuY2xhc2hyb3lhbGUuY29tL2Q5ZWFmMzQ2LWU0MzQtNDg2YS1iZDQwLTIxYzYwOTViNDg0OF9tb3VudGFpbl9vZl9nZW1zX21pbi5wbmc.avif
autosupercell-app  | 2026-03-11T08:03:05.382257245Z 2026-03-11 08:03:05.382 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://images.store.supercell.com/uCXzMPYoxuFjuk_86m6zONmb6IVSbFG9Fhx5pu1iZJA/rs:fit:700:700/q:90/aHR0cHM6Ly9ldmVudC1hc3NldHMuY2xhc2hyb3lhbGUuY29tLzQ3OWEwM2UyLWUzMDctNGNiYS05ODBkLTdmYWU2YTBjYWNiZl93YWdvbl9vZl9nZW1zX21pbi5wbmc.avif
autosupercell-app  | 2026-03-11T08:03:05.383219698Z 2026-03-11 08:03:05.382 | DEBUG    | app.core.browser_automation:on_request:1587 - → [GET] https://images.store.supercell.com/59Dp-S_Y5MOjU4-RLDU1fNiYoEvvVBB4uwWd5DLN-No/rs:fit:700:700/q:90/aHR0cHM6Ly9ldmVudC1hc3NldHMuY2xhc2hyb3lhbGUuY29tL2NiZDI3MmQzLWNjYTQtNGNmMi04YTA0LTNmOGFlMmNiN2FhNF9iYXJyZWxfb2ZfZ2Vtc19taW4ucG5n.avif
